Ticker,Company Name,Sector,ESG Score,ESG Rank,MCSI ESG Rating,BESG Score,ESG Score SYN,YFin E,YFin S,YFin G,Market Cap,EBITDA,PE,EV,Date,Return,Model 1,Model 2,Model 3
WQS,Company 0,Consumer Discretionary,26,16,D,29,55,76,69,44,5877,95182,45622,43471,2013-01-01,-2.7922417662315198,-2.8634235810865665,-2.794346093166302,-2.8888225788566633
WQS,Company 0,Consumer Discretionary,26,16,D,29,55,76,69,44,5877,95182,45622,43471,2013-02-01,-0.7620644290906711,-0.780665231403716,-0.8411108906795759,0.3536250077669464
WQS,Company 0,Consumer Discretionary,26,16,D,29,55,76,69,44,5877,95182,45622,43471,2013-03-01,0.268146783914859,0.6369456933120493,0.21715373566618232,0.2058873673145932
WQS,Company 0,Consumer Discretionary,26,16,D,29,55,76,69,44,5877,95182,45622,43471,2013-04-01,0.8224657733578191,0.7062696517719832,0.8513615809883969,0.7822181204425265
WQS,Company 0,Consumer Discretionary,26,16,D,29,55,76,69,44,5877,95182,45622,43471,2013-05-01,-1.9376374515575123,-2.124569815737528,-1.9713663709166058,-2.0376373416198637
WQS,Company 0,Consumer Discretionary,26,16,D,29,55,76,69,44,5877,95182,45622,43471,2013-06-01,-0.5160161124385929,-0.33686493609120516,-0.6153970708976966,-0.49871947300744546
WQS,Company 0,Consumer Discretionary,26,16,D,29,55,76,69,44,5877,95182,45622,43471,2013-07-01,-0.6610203268125487,-0.6305409330692071,-0.7489884739403991,-0.7610198629489536
WQS,Company 0,Consumer Discretionary,26,16,D,29,55,76,69,44,5877,95182,45622,43471,2013-08-01,-0.4852055273616891,-0.9251490640183572,-0.4905838683651227,-0.4703508978214439
WQS,Company 0,Consumer Discretionary,26,16,D,29,55,76,69,44,5877,95182,45622,43471,2013-09-01,0.027989378430246292,-0.2706302991502789,0.11065944701975408,-0.0645420067036617
WQS,Company 0,Consumer Discretionary,26,16,D,29,55,76,69,44,5877,95182,45622,43471,2013-10-01,-0.40920401393606975,-0.7270622347231797,-0.4968094073723046,-0.4971069762171023
WQS,Company 0,Consumer Discretionary,26,16,D,29,55,76,69,44,5877,95182,45622,43471,2013-11-01,-0.20776935373903127,-0.4027913713055049,-0.2859129340484815,0.21835712447994124
WQS,Company 0,Consumer Discretionary,26,16,D,29,55,76,69,44,5877,95182,45622,43471,2013-12-01,-1.6542768828075525,-1.5981025401981528,-1.6829998982261662,-1.319934007052526
WQS,Company 0,Consumer Discretionary,26,16,D,29,55,76,69,44,5877,95182,45622,43471,2014-01-01,-0.5313074882670753,-0.6652530657618262,-0.45443308440150865,-0.6154046096206485
WQS,Company 0,Consumer Discretionary,26,16,D,29,55,76,69,44,5877,95182,45622,43471,2014-02-01,-1.3735600011129128,-1.3278343360721931,-1.3088319861168645,-0.8680767709278766
WQS,Company 0,Consumer Discretionary,26,16,D,29,55,76,69,44,5877,95182,45622,43471,2014-03-01,-1.6847170044836624,-1.8154608187938068,-1.6932439810433093,-1.5756801447355395
